scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,2,vehev1,rfid,27226,728.24,1338.98,1455.00,726.76,1.4096589036581346,29.060853132275433,False
sp,2,vehev1,kapusta2,17651,211.13,761.13,938.00,726.87,4.849855539241226,79.38082914204796,False
sp,2,vehev1,kapusta2,30616,320.66,827.97,1048.00,727.3399999999999,3.198590407284975,68.73622837977497,False
sp,2,vehev1,tpn4,25029,114.95,712.38,841.00,726.05,11.12501087429317,91.01124474124583,False
sp,2,vehev1,kapusta2,22570,236.41,820.78,963.00,726.59,4.332642443213062,76.91939703987191,False
sp,2,vehev1,fuzzy,30616,782.47,571.91,1305.00,522.53,1.310797858064846,23.71058635415245,False
sp,2,vehev1,no-preemption,27548,1007.30,547.65,1735.00,727.7,,,False
sp,2,vehev1,no-preemption,12811,1008.68,588.86,1734.00,725.32,,,False
sp,2,vehev1,allgreen,30366,103.21,982.54,829.00,725.79,9.745276620482512,89.7386186257842,False
sp,2,vehev1,allgreen,6325,103.26,968.69,831.00,727.74,12.38291690877397,91.92435831260852,False
sp,2,vehev1,tpn4,22737,112.09,764.75,839.00,726.91,8.98519047194219,88.87057538599016,False
sp,2,vehev1,rfid,22570,665.41,1284.08,1392.00,726.59,1.5393216212560676,35.03631819424376,False
sp,2,vehev1,kapusta2,27548,281.97,851.03,1009.00,727.03,3.578004752278611,72.05146249838931,False
sp,2,vehev1,allgreen,31737,102.74,947.98,829.00,726.26,9.817305820517813,89.81390599129513,False
sp,2,vehev1,no-preemption,27226,1025.00,604.97,1751.00,726.0,,,False
sp,2,vehev1,kapusta2,22737,221.25,791.89,948.00,726.75,4.552090395480226,78.03207069453408,False
sp,2,vehev1,rfid,14368,606.17,1274.91,1332.00,725.83,1.6626193971988057,39.8539436214441,False
sp,2,vehev1,kapusta2,32668,254.51,821.09,981.00,726.49,5.09528112844289,80.3739975323874,False
sp,2,vehev1,no-preemption,30366,1009.53,460.79,1734.00,724.47,,,False
sp,2,vehev1,no-preemption,25029,1099.21,519.74,1825.00,725.79,,,False
sp,2,vehev1,allgreen,6479,108.24,921.32,834.00,725.76,11.827420546932743,91.54507108264333,False
sp,2,vehev1,tpn4,16993,117.59,727.88,844.00,726.41,10.876775235989454,90.80609851446442,False
sp,2,vehev1,tpn4,15239,119.33,742.33,845.00,725.67,8.436352970753374,88.14653673848477,False
sp,2,vehev1,rfid,22737,494.27,1222.71,1221.00,726.73,2.037651486029903,50.92389415677903,False
sp,2,vehev1,allgreen,27226,111.33,963.48,838.00,726.67,9.220964699541902,89.15514772494812,False
sp,2,vehev1,no-preemption,2094,1026.63,602.09,1751.00,724.3699999999999,,,False
sp,2,vehev1,rfid,22760,615.24,1328.75,1341.00,725.76,1.664521162473181,39.922662292008425,False
sp,2,vehev1,kapusta2,20276,258.80,844.19,987.00,728.2,5.004018547140649,80.01606127996045,False
sp,2,vehev1,rfid,31737,673.02,1310.70,1401.00,727.98,1.498662744049211,33.27384670295351,False
sp,2,vehev1,fuzzy,22760,879.41,667.26,1402.00,522.59,1.1645080224241253,14.126826029216467,False
sp,2,vehev1,tpn4,27548,107.17,724.68,833.00,725.83,9.413921806475692,89.37743460634955,False
sp,2,vehev1,no-preemption,24847,1025.62,595.15,1751.00,725.3800000000001,,,False
sp,2,vehev1,rfid,30366,465.80,1129.66,1194.00,728.2,2.159317303563761,53.689066523498475,False
sp,2,vehev1,rfid,16250,514.56,1144.63,1241.00,726.44,1.9563510572139304,48.88442969820993,False
sp,2,vehev1,no-preemption,15239,1097.87,581.54,1824.00,726.1300000000001,,,False
sp,2,vehev1,allgreen,25029,99.56,975.56,827.00,727.44,12.844716753716352,92.21469792464929,False
