scenario,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
augmented-downtown,vehev2,tpn3,32668,211.55,11221.71,707.00,495.45,5.149515480973765,80.58069727735042,False
augmented-downtown,vehev1,no-preemption,17651,27142.53,81640.30,28021.00,878.4700000000012,,,False
augmented-downtown,vehev2,no-preemption,2094,1001.06,16247.00,1496.00,494.94000000000005,,,False
augmented-downtown,vehev3,rfid,22760,11300.05,76086.73,11962.00,661.9500000000007,-1.0063461868999242,-0.6346186899924167,False
augmented-downtown,vehev2,tpn4,30366,250.80,33479.42,746.00,495.2,4.342822966507177,76.97350300225858,False
augmented-downtown,vehev3,rfid,20276,11154.43,75675.98,11817.00,662.5699999999997,1.1532808041289424,13.290848471609952,False
augmented-downtown,vehev3,kapusta2,24847,13309.38,95948.84,13971.00,661.6200000000008,-1.253896114907833,-25.38961149078329,False
augmented-downtown,vehev2,rfid,2094,685.87,15556.81,1181.00,495.13,1.4595477277035005,31.485625237248517,False
augmented-downtown,vehev3,kapusta2,22760,12971.70,86714.36,13634.00,662.2999999999993,-1.1552179709478938,-15.521797094789381,False
augmented-downtown,vehev3,rfid,30616,12882.67,80573.96,13544.00,661.3299999999999,-1.0156478261520838,-1.5647826152083821,False
augmented-downtown,vehev2,tpn4,6479,235.96,34223.64,731.00,495.03999999999996,4.994999152398711,79.97997658278325,False
augmented-downtown,vehev1,no-preemption,32668,28836.01,84255.98,29714.00,877.9900000000016,,,False
augmented-downtown,vehev3,no-preemption,17651,11874.33,82826.82,12536.00,661.6700000000001,,,False
augmented-downtown,vehev3,allgreen,30366,978.14,38671.44,1640.00,661.86,11.11226409307461,91.0009338184896,False
augmented-downtown,vehev2,no-preemption,6479,1178.62,13931.88,1674.00,495.3800000000001,,,False
augmented-downtown,vehev1,kapusta2,31737,28118.67,86354.24,28997.00,878.3300000000017,-1.089598530599908,-8.959853059990808,False
augmented-downtown,vehev3,tpn4,30366,1354.30,42185.13,2016.00,661.7,8.02580668980285,87.54019329582727,False
augmented-downtown,vehev3,allgreen,22760,1503.90,38057.09,2166.00,662.0999999999999,7.466447237183323,86.6067492579343,False
augmented-downtown,vehev1,fuzzy,11718,28176.64,111362.61,28805.00,628.3600000000006,-1.0016508947679006,-0.16508947679005903,False
augmented-downtown,vehev3,allgreen,31737,1477.56,37884.76,2139.00,661.44,8.93946777119034,88.81365171176355,False
augmented-downtown,vehev1,allgreen,11718,27257.36,66933.28,28135.00,877.6399999999994,1.032022176762533,3.102857427249006,False
augmented-downtown,vehev3,no-preemption,16993,12938.86,90976.28,13601.00,662.1399999999994,,,False
augmented-downtown,vehev1,rfid,21907,27221.68,88383.51,28100.00,878.3199999999997,1.0234680592821603,2.2929938134679473,False
augmented-downtown,vehev7,allgreen,12811,4822.24,40979.66,5471.00,648.7600000000002,1.569156657486977,36.27150002973497,False
augmented-downtown,vehev3,rfid,32668,10035.10,71519.00,10697.00,661.8999999999996,1.2102071728233899,17.369519661082535,False
augmented-downtown,vehev7,kapusta2,20276,7642.12,39220.24,8292.00,649.8800000000001,-1.0623262382954115,-6.232623829541151,False
augmented-downtown,vehev7,tpn4,17651,8122.73,34453.79,8772.00,649.2700000000004,-1.037942446778604,-3.7942446778604033,False
augmented-downtown,vehev2,fuzzy,2094,1053.61,28334.86,1401.00,347.3900000000001,-1.0524943559826583,-5.249435598265828,False
augmented-downtown,vehev7,kapusta2,10105,6974.75,48281.91,7624.00,649.25,-1.0054302386594935,-0.5430238659493547,False
augmented-downtown,vehev7,allgreen,11718,4993.19,42797.96,5642.00,648.8100000000004,1.5392344373036075,35.03263857896949,False
augmented-downtown,vehev2,fuzzy,11718,976.56,28761.53,1326.00,349.44000000000005,1.1213135905627918,10.818881674474678,False
augmented-downtown,vehev3,no-preemption,31737,13208.60,92540.21,13870.00,661.3999999999996,,,False
