scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported,avg_trip_speed,avg_trip_timeloss,avg_trip_speed_perc,avg_trip_timeloss_perc,teleported_perc
cologne,2,vehev6,allgreen,30366,31.04,15678.68,488.00,456.96,27.57764175257732,96.37387413698438,False,491.3333333333333,5651,6.76,1125.08,7.131537242472263,15.956644181998826,53.03357712765957
cologne,2,vehev5,no-preemption,15239,2849.75,71743.68,3213.00,363.25,,,False,,32088,5.29,1911.66,,,
cologne,2,vehev1,rfid,17651,10356.17,77793.59,10887.00,530.8299999999999,1.3487273770129304,25.856031615912478,False,202.69230769230768,95368,3.17,4905.70,-1.552795031055909,13.133323535296848,4.82330515663516
cologne,2,vehev4,kapustaimp,31737,203.45,20224.42,735.00,531.55,7.2928975178176465,86.28802889994203,False,80.92307692307692,7179,6.61,1191.91,11.467116357504237,21.98929235280258,60.23155329049412
cologne,2,vehev6,kapusta2,16250,176.19,9815.20,633.00,456.81,6.4942391736193885,84.60173742811698,False,217.04166666666666,6474,6.69,1163.10,8.427876823338742,17.836959593105394,55.30857379538865
cologne,2,vehev1,kapustaimp,17651,1990.40,44964.06,2522.00,531.5999999999999,7.01750904340836,85.74992930092034,False,388.53846153846155,29689,4.23,1498.58,31.366459627329203,73.46420204731743,70.37055518407999
cologne,2,vehev2,tpnx,27226,136.67,1774.85,500.00,363.33000000000004,12.76381063876491,92.16534913983364,False,148.55555555555554,6882,5.26,924.76,19.004524886877828,31.610708475077654,70.95834915812128
cologne,2,vehev5,no-preemption,14368,,6347.54,,,,,True,,1729,7.14,951.79,,,
cologne,2,vehev2,tpnx,27548,147.14,1934.78,511.00,363.86,11.544175615060487,91.3376231153708,False,143.85185185185185,6999,5.27,925.97,17.897091722595082,30.84150540364924,70.37334913647139
cologne,2,vehev6,allgreen,15239,31.97,4497.67,489.00,457.03,26.768532999687206,96.26427044017808,False,492.3333333333333,5587,6.77,1124.80,7.2900158478605315,15.97818779412864,52.547987090198745
cologne,2,vehev6,fuzzy,16993,707.94,29254.74,1013.00,305.05999999999995,1.2157244964262506,17.7445216461785,False,44.291666666666664,9324,6.47,1261.46,2.373417721518978,5.8654090115367925,22.144288577154313
cologne,2,vehev1,rfid,6325,8501.76,31364.18,9033.00,531.2399999999998,1.5751079776422765,36.51228904974091,False,202.69230769230768,87275,3.21,4266.96,2.8846153846153744,26.305045051580045,15.664105909068947
cologne,2,vehev1,no-preemption,16250,9169.72,29557.29,9701.00,531.2800000000007,,,False,,90091,3.19,4521.07,,,
cologne,2,vehev2,rfid,17651,1765.77,15303.06,2129.00,363.23,1.0617634233224031,5.81706074684104,False,203.7037037037037,24280,4.44,1362.97,2.3041474654378113,2.6575154622977104,8.838326950514375
cologne,2,vehev6,rfid,20276,392.45,22610.82,850.00,457.55,2.425251624410753,58.76716502589857,False,221.45833333333334,7920,6.55,1219.13,4.800000000000004,10.730264265891465,38.134666458365885
cologne,2,vehev2,allgreen,16250,75.24,1801.02,439.00,363.76,34.30528973950027,97.08499765606537,False,441.22222222222223,6768,5.29,913.50,30.617283950617292,44.574555868362296,81.2349238916461
cologne,2,vehev3,allgreen,10105,3343.53,15992.06,3801.00,457.4699999999998,4.849919097480806,79.3810993564938,False,3802.6666666666665,49282,3.71,2095.11,18.91025641025641,67.00130885310762,54.401028896064844
cologne,2,vehev1,kapustaimp,30366,1612.36,39099.72,2144.00,531.6400000000001,16.045628767768985,93.76777305225514,False,284.3076923076923,24527,4.41,1362.63,40.445859872611464,82.54045742840668,78.46449675566988
cologne,2,vehev4,kapusta2,12811,227.95,20935.31,759.00,531.05,6.083307742926081,83.56157468504136,False,200.53846153846155,7471,6.61,1198.03,10.53511705685619,20.28120466855644,57.4156406748746
cologne,2,vehev4,no-preemption,21907,716.47,33729.23,1248.00,531.53,,,False,,11477,6.33,1325.43,,,
cologne,2,vehev3,kapustaimp,4771,1100.71,5926.75,1558.00,457.28999999999996,2.957963496288759,66.1929566996124,False,235.375,17252,4.75,1180.53,26.66666666666666,41.87501846362911,62.26431602432303
cologne,2,vehev6,rfid,22570,620.60,15836.13,1078.00,457.4,1.5340154689010634,34.811609121752916,False,221.45833333333334,10081,6.42,1278.84,2.5559105431310014,6.177368235708425,18.524205932271887
cologne,2,vehev3,kapustaimp,16250,1019.24,3636.14,1476.00,456.76,10.355205839645226,90.34302151511592,False,240.125,16247,4.79,1164.58,50.15673981191222,76.57737382920054,83.0688106378766
cologne,2,vehev4,fuzzy,30366,861.21,32365.50,1216.00,354.78999999999996,1.7244342262630483,42.00996565887818,False,40.56,11164,6.34,1318.70,7.457627118644061,13.885315379441398,39.46098367767475
cologne,2,vehev1,tpnx,10105,1165.13,30746.20,1696.00,530.8699999999999,5.650665590964098,82.30296973158195,False,418.96153846153845,18626,4.68,1220.15,43.55828220858895,66.01651060321633,76.15627840290846
cologne,2,vehev5,rfid,30366,1914.66,50142.68,2278.00,363.3399999999999,1.6680663929888335,40.05034786365999,False,203.7037037037037,21390,5.79,1600.88,14.426877470355738,24.335463379589374,42.5293532872995
cologne,2,vehev1,allgreen,22760,812.51,32406.46,1344.00,531.49,24.1629395330519,95.86143068962232,False,1347.423076923077,14994,4.82,1142.29,52.531645569620245,83.33698017866624,86.29458328001316
cologne,2,vehev6,allgreen,10105,28.61,15565.20,486.00,457.39,36.62950017476407,97.26996001793945,False,489.3333333333333,5560,6.78,1123.69,9.178743961352653,19.169460069918998,59.43678412489969
cologne,2,vehev5,no-preemption,2094,2754.29,66607.16,3118.00,363.71000000000004,,,False,,30266,5.40,1851.32,,,
cologne,2,vehev3,tpnx,11718,2604.28,13158.41,3062.00,457.7199999999998,3.499362587740181,71.42336711538715,False,657.0416666666666,37240,4.04,1702.13,25.46583850931676,61.937803697251994,58.60382392174299
cologne,2,vehev6,no-preemption,30616,952.66,30079.38,1410.00,457.34000000000003,,,False,,12611,6.26,1364.91,,,
cologne,2,vehev3,allgreen,2094,2166.76,12640.62,2624.00,457.2399999999998,2.5237774372796244,60.37685474049177,False,2627.3333333333335,32046,4.17,1548.92,23.73887240356083,49.73503250030018,53.784918013873465
cologne,2,vehev5,allgreen,6325,27.38,14508.30,391.00,363.62,144.91307523739957,99.30993114433478,False,393.5925925925926,5129,6.81,1101.33,42.46861924686192,56.5114552648413,88.45729717564983
cologne,2,vehev2,fuzzy,31737,2899.54,108392.59,3142.00,242.46000000000004,-1.7027771415819548,-70.27771415819548,False,40.69230769230769,38745,3.97,1749.43,-10.18099547511312,-30.192077277429252,-61.12867004907261
