scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,1,veh11651,no-preemption,22737,1025.54,,1826.00,800.46,,,False
sp,1,veh11651,djahel_wc!start_el!low,14368,968.91,,1586.00,617.09,1.1770236657687505,15.039941074857733,False
sp,1,veh11651,allgreen,13347,105.98,,892.00,786.02,9.818267597659935,89.81490379995003,False
sp,1,veh11651,kapusta2,10079,129.70,,782.00,652.3,7.817887432536624,87.20882068679856,False
sp,1,veh11651,allgreen,30616,108.51,,846.00,737.49,9.323103861395262,89.2739583848169,False
sp,1,veh11651,djahel_wc!start_el!low,10280,323.63,,1106.00,782.37,3.2279145938262834,69.02024601541186,False
sp,1,veh11651,rfid_dd!1000_nc!5,227,420.78,,1071.00,650.22,2.6466324445078193,62.216136128945365,False
sp,1,veh11651,kapusta2,19226,98.02,,931.00,832.98,10.32279126708835,90.31269765970904,False
sp,1,veh11651,rfid_dd!250_nc!2,12837,934.53,,1641.00,706.47,1.191508030774828,16.0727436012573,False
sp,1,veh11651,no-preemption,23215,1011.05,,1667.00,655.95,,,False
sp,1,veh11651,djahel_wc!start_el!low,13518,666.31,,1295.00,628.69,1.556542750371449,35.75505717646607,False
sp,1,veh11651,rfid_dd!250_nc!5,3229,860.95,,1669.00,808.05,1.2052616295952145,17.03046247843727,False
sp,1,veh11651,djahel_wc!start_el!high,16993,764.68,,1295.00,530.32,1.3232986347230216,24.431267911848998,False
sp,1,veh11651,rfid_dd!250_nc!5,20156,904.62,,1659.00,754.38,1.1853595985054497,15.63741490254592,False
sp,1,veh11651,no-preemption,6325,1018.43,,1676.00,657.57,,,False
sp,1,veh11651,kapusta2,10105,164.26,,946.00,781.74,6.35717764519664,84.26974900165672,False
sp,1,veh11651,rfid_dd!1000_nc!2,10280,232.39,,1016.00,783.61,4.495245062179957,77.75427176566313,False
sp,1,veh11651,djahel_wc!start_el!low,11718,523.89,,1193.00,669.11,1.92376262192445,48.01853468804572,False
sp,1,veh11651,rfid_dd!1000_nc!5,6479,408.52,,1059.00,650.48,2.5085430333888183,60.13622303106002,False
sp,1,veh11651,rfid_dd!1000_nc!2,4771,355.91,,1034.00,678.0899999999999,2.8068331881655473,64.37266011331558,False
sp,1,veh11651,petri_lc!True,21552,111.89,,1021.00,909.11,11.429171507730807,91.25045941148412,False
sp,1,veh11651,petri_lc!False,22760,135.13,,788.00,652.87,9.562051357951601,89.54199300374577,False
sp,1,veh11651,allgreen,8189,110.06,,776.00,665.94,9.176176630928584,89.10221500500035,False
sp,1,veh11651,petri_lc!False,2094,96.72,,866.00,769.28,10.895885028949545,90.82222327655738,False
sp,1,veh11651,rfid_dd!1000_nc!5,19226,294.20,,1128.00,833.8,3.439292997960571,70.92425679949399,False
sp,1,veh11651,djahel_wc!start_el!high,4771,704.23,,1194.00,489.77,1.4185422376212318,29.50509519710104,False
sp,1,veh11651,rfid_dd!1000_nc!5,21907,251.45,,1103.00,851.55,4.233923245177968,76.38124401194793,False
sp,1,veh11651,rfid_dd!250_nc!2,4771,638.63,,1317.00,678.37,1.564254732787373,36.07179322909367,False
sp,1,veh11651,djahel_wc!start_el!low,21866,920.80,,1644.00,723.2,1.196459600347524,16.420078061178188,False
sp,1,veh11651,petri_lc!False,14368,176.78,,794.00,617.22,6.451125692951692,84.49882938891471,False
sp,1,veh11651,rfid_dd!1000_nc!5,25029,796.04,,1368.00,571.96,1.3719159841214008,27.109239080670267,False
sp,1,veh11651,kapusta2,18685,101.21,,901.00,799.79,10.144748542634128,90.14268322376431,False
sp,1,veh11651,allgreen,6426,106.43,,825.00,718.5699999999999,9.545241003476463,89.52357515503493,False
