scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
cologne,2,vehev5,no-preemption,22760,4043.71,23975.13,4407.00,363.28999999999996,,,False,,30117
cologne,2,vehev6,rfid,12811,6529.69,35489.43,6987.00,457.3100000000004,1.1014336055769878,9.209234679547617,False,221.45833333333334,48093
cologne,2,vehev1,kapusta2,22760,20469.37,62874.87,21001.00,531.630000000001,-1.5666888882595746,-56.66888882595747,False,4571.615384615385,90992
cologne,2,vehev4,rfid,12811,596.56,6148.09,1128.00,531.44,1.06294421349068,5.921685511977426,False,202.69230769230768,4847
cologne,2,vehev2,allgreen,22570,45.89,4272.01,410.00,364.11,36.727609500980606,97.27725268922471,False,412.5925925925926,2551
cologne,2,vehev5,allgreen,22737,21.44,3279.70,385.00,363.56,244.44776119402985,99.59091464159238,False,387.5925925925926,1989
cologne,2,vehev2,fuzzy,10105,4871.73,28276.67,5115.00,243.27000000000044,-3.07543179637392,-207.54317963739203,False,40.74074074074074,35681
cologne,2,vehev6,rfid,2094,9580.60,45251.40,10038.00,457.39999999999964,-1.1351704248565426,-13.517042485654262,False,221.45833333333334,63015
cologne,2,vehev2,rfid,22760,610.61,7273.24,974.00,363.39,,,False,203.7037037037037,4658
cologne,2,vehev4,kapusta2,16250,874.66,6295.09,1406.00,531.34,-1.2007303278238426,-20.07303278238426,False,268.5769230769231,6371
cologne,2,vehev6,no-preemption,16250,7975.36,22439.24,8433.00,457.6400000000003,,,False,,55552
cologne,2,vehev4,rfid,16993,632.71,7865.99,1164.00,531.29,1.0077286592593764,0.7669385194479239,False,202.69230769230768,4997
cologne,2,vehev4,tpn4,22570,321.26,4952.10,853.00,531.74,2.530660524186018,60.48462484624846,False,290.4230769230769,3667
cologne,2,vehev3,kapustaimp,6479,2163.85,17710.28,2621.00,457.1500000000001,5.586260600318877,82.0989375264212,False,363.5416666666667,15397
cologne,2,vehev4,allgreen,22570,275.68,4860.51,807.00,531.3199999999999,2.949071387115496,66.09102091020911,False,808.9615384615385,3535
cologne,2,vehev5,allgreen,30366,19.84,3140.75,383.00,363.16,139.87701612903226,99.28508626529641,False,385.5925925925926,2019
cologne,2,vehev4,fuzzy,22570,1529.02,8784.95,1884.00,354.98,-1.8807134071340714,-88.07134071340714,False,40.53846153846154,9378
cologne,2,vehev4,kapusta2,31737,623.82,6232.80,1155.00,531.18,1.1708345356032188,14.590835033338346,False,276.7307692307692,4852
cologne,2,vehev5,allgreen,10105,20.55,3237.12,384.00,363.45,1289.734306569343,99.92246465067213,False,386.5925925925926,1900
cologne,2,vehev2,tpn4,27226,45.73,4226.44,409.00,363.27,21.980537940083096,95.4505208074256,False,225.4814814814815,2409
cologne,2,vehev6,allgreen,17651,24.09,3602.93,481.00,456.91,238.92569530925695,99.58145983473831,False,484.3333333333333,2261
cologne,2,vehev3,kapusta2,21907,11738.73,40661.41,12196.00,457.27000000000044,-5.847553624978828,-484.7553624978828,False,3324.3333333333335,71463
cologne,2,vehev1,fuzzy,12811,32272.20,80272.69,32627.00,354.7999999999993,-2.7094496002847794,-170.94496002847794,False,39.04,99667
cologne,2,vehev6,no-preemption,24847,5083.12,24413.85,5540.00,456.8800000000001,,,False,,38933
cologne,2,vehev5,allgreen,24847,27.83,3271.37,391.00,363.17,838.6554078332734,99.88076151531848,False,393.5925925925926,1956
cologne,2,vehev3,fuzzy,24847,1554.07,11269.78,1859.00,304.93000000000006,1.3656012920910898,26.772184107358253,False,44.291666666666664,10045
cologne,2,vehev5,kapustaimp,22760,171.08,3865.10,535.00,363.91999999999996,23.636368950198737,95.76923172037559,False,121.0,2476
cologne,2,vehev4,rfid,32668,492.82,5937.07,1024.00,531.1800000000001,1.2829430623757152,22.054218201372855,False,202.69230769230768,4223
cologne,2,vehev5,kapusta2,14368,445.83,5274.02,809.00,363.17,58.629051432160246,98.29436094295828,False,278.18518518518516,3449
cologne,2,vehev5,kapusta2,6479,399.00,4588.12,763.00,364.0,15.385288220551377,93.500284260751,False,244.74074074074073,3214
cologne,2,vehev4,no-preemption,16250,728.44,5897.83,1260.00,531.56,,,False,,5476
cologne,2,vehev2,kapusta2,20276,818.46,7789.76,1182.00,363.53999999999996,1.1152652542579966,10.335232252410155,False,327.0,5560
cologne,2,vehev5,tpn4,11718,23.09,3215.00,387.00,363.91,442.06193157210913,99.77378735227353,False,118.92592592592592,1910
cologne,2,vehev4,no-preemption,27548,634.59,6155.62,1166.00,531.41,,,False,,4981
cologne,2,vehev5,rfid,21907,7929.80,30977.04,8293.00,363.1999999999998,1.2427539156094731,19.533546630623288,False,203.7037037037037,55655
cologne,2,vehev6,fuzzy,27548,3955.43,18755.61,4261.00,305.57000000000016,1.7230945813729481,41.96488046505213,False,44.291666666666664,29442
cologne,2,vehev4,fuzzy,22760,724.79,5943.15,1079.00,354.21000000000004,-1.1696575541425944,-16.96575541425944,False,39.04,4851
cologne,2,vehev5,fuzzy,16250,1415.90,7951.68,1659.00,243.0999999999999,2.2972031923158416,56.468805051942894,False,40.74074074074074,7599
cologne,2,vehev4,allgreen,6479,451.74,6299.83,983.00,531.26,1.8288174613715853,45.31985716879501,False,986.4230769230769,4236
cologne,2,vehev1,tpn4,24847,1903.65,14927.84,2435.00,531.3499999999999,13.468221574344023,92.57511472854793,False,904.2307692307693,14594
cologne,2,vehev4,kapusta2,2094,457.29,5431.25,989.00,531.71,1.6013033304904982,37.55086990959495,False,204.46153846153845,4242
cologne,2,vehev3,rfid,2094,1423.48,12559.98,1881.00,457.52,2.289038131902099,56.31352811195679,False,221.45833333333334,10022
cologne,2,vehev6,no-preemption,30366,7002.95,33772.81,7460.00,457.0500000000002,,,False,,52291
cologne,2,vehev3,fuzzy,30616,1575.10,11261.13,1880.00,304.9000000000001,2.3742746492286204,57.88187350924668,False,44.291666666666664,9761
cologne,2,vehev1,fuzzy,25029,31973.32,91558.31,32328.00,354.6800000000003,1.0841273286602706,7.759912183399376,False,40.53846153846154,100574
cologne,2,vehev6,no-preemption,31737,2970.16,15936.52,3427.00,456.84000000000015,,,False,,21662
cologne,2,vehev3,allgreen,27548,7510.21,31815.03,7967.00,456.78999999999996,1.124322755289133,11.057568185317212,False,7970.333333333333,54760
cologne,2,vehev5,allgreen,32668,27.52,3268.78,391.00,363.48,734.5385174418604,99.86386010042297,False,393.5925925925926,2056
cologne,2,vehev5,no-preemption,22570,2540.29,13619.88,2904.00,363.71000000000004,,,False,,17212
cologne,2,vehev5,kapusta2,30616,1372.79,8867.06,1736.00,363.21000000000004,-1.1436390446279066,-14.363904462790655,False,394.18518518518516,8282
cologne,2,vehev4,fuzzy,15239,17432.57,24881.07,17787.00,354.4300000000003,-21.133974250175786,-2013.3974250175786,False,39.04,86725
cologne,2,vehev1,no-preemption,22570,26602.69,81431.16,27134.00,531.3100000000013,,,False,,92285
cologne,2,vehev2,no-preemption,17651,1008.96,8713.87,1373.00,364.03999999999996,,,False,,6545
cologne,2,vehev5,no-preemption,6479,6138.73,23350.27,6502.00,363.27000000000044,,,False,,44910
cologne,2,vehev6,allgreen,25029,25.75,3265.38,483.00,457.25,159.98485436893202,99.37494083177776,False,486.3333333333333,2218
cologne,2,vehev5,kapusta2,16993,532.36,5228.96,896.00,363.64,5.322732737245473,81.2126580580955,False,288.3703703703704,3711
cologne,2,vehev4,allgreen,10105,390.35,5196.83,922.00,531.65,1.8809273728705007,46.834736182615565,False,924.1538461538462,3803
cologne,2,vehev5,tpn4,4771,26.11,3252.54,390.00,363.89,111.7947146687093,99.10550332995314,False,134.0,1872
cologne,2,vehev3,kapusta2,6325,6249.97,28076.41,6707.00,457.02999999999975,1.2284826967169442,18.5987720728629,False,2335.7083333333335,47147
cologne,2,vehev1,tpn4,17651,2105.65,24101.42,2637.00,531.3499999999999,18.739852302139482,94.66377864735982,False,715.3846153846154,15938
cologne,2,vehev2,no-preemption,31737,1680.43,12064.90,2044.00,363.56999999999994,,,False,,11256
